x,y,z,roll,pitch,yaw,time
0.171863,-0.0352311,-0.0397129,-0.00581275,0.012635,0.0161125,1598537688.303471872
0.121979,0.0348419,0.0248999,-0.00493824,-0.00344524,0.019819,1598537688.403352832
0.127237,0.019695,-0.0460005,0.0126019,-0.00535007,0.0066915,1598537688.503506944
0.174411,-0.0464349,0.0202072,0.0271492,-0.0203936,0.000600951,1598537688.603903744
0.0178646,0.0209445,0.0969637,0.00128531,0.0216551,-0.0180214,1598537688.704018432
0.139329,0.0147251,-0.0661998,0.00580204,0.0152543,0.00128276,1598537688.804470528
0.145413,-0.0276589,0.0458437,0.0149761,0.00872142,0.00856748,1598537688.904568320
0.102294,0.0279052,0.00576277,-0.00633347,0.00590031,-0.000543641,1598537689.004402944
0.111374,-0.0329127,-0.0242551,0.0038458,-0.0287442,0.00163838,1598537689.104308736
0.198235,-0.012895,0.1075,-0.0161261,-0.00895436,0.0269029,1598537689.203980288
0.107151,0.0538845,-0.0142684,-0.00301109,0.0111749,0.0395415,1598537689.303212032
0.145492,0.00308026,0.0558415,-0.0278958,0.00344001,-5.0454e-06,1598537689.403101696
0.155628,-0.0129155,-0.0455549,-0.00544375,0.00362749,0.0232326,1598537689.503064320
0.0787015,0.0321112,-0.0358862,0.00898066,0.00306546,0.00919894,1598537689.602999808
0.130012,-0.00756109,-0.00698397,0.0134862,-0.0143863,0.00859171,1598537689.703315200
0.111751,0.0180973,0.113323,-0.0255324,-0.00861128,-0.0171174,1598537689.803521280
0.155096,-0.0717228,-0.0415121,-0.0103745,0.0236427,-0.0123141,1598537689.904045312
0.0911602,0.072356,0.0127737,-0.00434841,0.00314999,0.00332852,1598537690.003894272
0.216307,-0.066424,-0.0652854,-0.00057447,-0.00483717,-0.00685697,1598537690.104278272
0.110704,-0.027093,-0.000122091,0.0143812,0.000800706,0.015462,1598537690.204011264
0.115732,0.0365681,0.120989,-0.0291304,-0.0038004,0.0147167,1598537690.303720448
0.16089,-0.0382179,0.00738915,0.016271,0.0180921,0.036518,1598537690.403648512
0.0897315,0.0400028,-0.00217319,0.00805937,0.0158456,0.0183079,1598537690.503217664
0.163717,-0.0333767,-0.0472978,0.0226024,-0.00447984,0.0208537,1598537690.603367936
0.122014,-0.0117964,0.0798603,0.0219805,0.0102472,0.00701695,1598537690.703396608
0.161925,-0.0468284,-0.0308807,-0.00148514,-0.000468071,-0.0049583,1598537690.803601664
0.117765,0.0601988,0.102576,0.0120293,0.00858833,-0.00844785,1598537690.903623424
0.106315,0.00561507,-0.0016974,0.00768933,0.0408491,-0.0234243,1598537691.004074496
0.125648,0.0069183,0.021241,-0.0151272,0.0124799,-0.0525077,1598537691.104701184
0.172416,-0.0212955,-0.024661,-0.00453726,-0.00453764,-0.0379592,1598537691.205323008
0.178644,-0.0511259,-0.0348602,-0.00406717,-0.0159353,-0.00762586,1598537691.305287168
0.146805,-0.0641714,0.0667864,-0.00918769,-0.0200162,0.0441037,1598537691.404729856
0.104623,0.0287232,-0.00594246,0.000743787,-0.0153455,0.0335037,1598537691.503613952
0.13123,0.0186359,0.181565,-0.0298545,-0.00111178,0.00624515,1598537691.603115008
0.11591,-0.0545935,-0.00637566,-0.00999907,-0.0233044,0.0580334,1598537691.703096832
0.068381,0.075403,0.0063737,0.00973542,-0.022633,0.0320964,1598537691.802357504
0.104996,-0.082221,-0.00978997,0.00900862,-0.03693,0.0157325,1598537691.902546944
0.042095,0.0686159,-0.0169062,0.0368854,-0.0191698,0.00680399,1598537692.002491392
0.120149,0.01194,0.0871432,0.0196904,0.00571113,-0.0107105,1598537692.103115520
0.152912,-0.0534602,0.00169133,0.0123799,0.0160134,-0.00129405,1598537692.203620864
0.0907697,-0.00944849,0.108206,-0.0117561,-0.0117516,0.000368128,1598537692.303584512
0.126133,-0.0432867,0.0152445,-0.0294206,-0.0160034,-0.00350199,1598537692.403758592
0.132451,-0.0452673,0.0375118,-0.00962075,-0.0167568,0.0266854,1598537692.503445760
0.0746682,-0.0197213,0.0198261,-0.0263416,-0.00676711,0.0226644,1598537692.602852608
0.0675511,-0.00879441,0.0264864,-0.0254007,0.00427561,-0.0101748,1598537692.702665472
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00304074,0.0266752,-0.0276598,0.00837769,0.0342914,0.0368867,1598537683.303637760
-0.104791,0.0394639,0.0127496,0.00170399,0.0193208,0.00429322,1598537683.403665152
0.0105949,0.0510203,-0.0184056,0.00195283,0.0229401,0.00623942,1598537683.504374784
-0.0655024,0.0327122,-0.00138256,-0.0185851,0.0147351,0.0199641,1598537683.604352768
0.0306129,0.0639741,-0.0780797,0.000302807,-0.000619383,0.0315658,1598537683.704233216
-0.00892719,0.0470739,-0.0282931,-0.00857699,0.0205578,0.0684086,1598537683.803530240
0.0265686,0.0738448,-0.035482,-0.00285026,0.0193505,0.110981,1598537683.902376448
-0.0128808,0.075426,0.0472379,-0.0207643,0.00235095,0.134518,1598537684.000984064
0.0141155,0.0967348,0.00844231,-0.0117338,-0.0176497,0.135746,1598537684.100150016
-0.0151946,0.0775996,0.029455,0.00398028,-0.0226564,0.149623,1598537684.199559680
0.0274878,0.096063,0.0262064,0.00779947,-0.0316665,0.155093,1598537684.299474944
-0.0305642,0.133858,0.038413,0.0077397,-0.0359274,0.165947,1598537684.399599872
0.186105,0.099537,-0.0384817,0.0342379,-0.0230941,0.193134,1598537684.500289792
-0.0656586,0.105941,0.0903969,0.0191359,-0.00584379,0.201687,1598537684.600199168
0.0423289,0.106171,0.0559649,-0.0194303,0.0102045,0.189532,1598537684.701149952
0.121073,0.0865127,-0.147692,0.00236198,0.0114145,0.174331,1598537684.802343680
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00304074,0.0266752,-0.0276598,0.00837769,0.0342914,0.0368867,1598537683.303637760
-0.104791,0.0394639,0.0127496,0.00170399,0.0193208,0.00429322,1598537683.403665152
0.0105949,0.0510203,-0.0184056,0.00195283,0.0229401,0.00623942,1598537683.504374784
-0.0655024,0.0327122,-0.00138256,-0.0185851,0.0147351,0.0199641,1598537683.604352768
0.0306129,0.0639741,-0.0780797,0.000302807,-0.000619383,0.0315658,1598537683.704233216
-0.00892719,0.0470739,-0.0282931,-0.00857699,0.0205578,0.0684086,1598537683.803530240
0.0265686,0.0738448,-0.035482,-0.00285026,0.0193505,0.110981,1598537683.902376448
-0.0128808,0.075426,0.0472379,-0.0207643,0.00235095,0.134518,1598537684.000984064
0.0141155,0.0967348,0.00844231,-0.0117338,-0.0176497,0.135746,1598537684.100150016
-0.0151946,0.0775996,0.029455,0.00398028,-0.0226564,0.149623,1598537684.199559680
0.0274878,0.096063,0.0262064,0.00779947,-0.0316665,0.155093,1598537684.299474944
-0.0305642,0.133858,0.038413,0.0077397,-0.0359274,0.165947,1598537684.399599872
0.186105,0.099537,-0.0384817,0.0342379,-0.0230941,0.193134,1598537684.500289792
-0.0656586,0.105941,0.0903969,0.0191359,-0.00584379,0.201687,1598537684.600199168
0.0423289,0.106171,0.0559649,-0.0194303,0.0102045,0.189532,1598537684.701149952
0.121073,0.0865127,-0.147692,0.00236198,0.0114145,0.174331,1598537684.802343680
-0.0086273,0.0820274,0.0190719,0.0236875,-0.0102558,0.161983,1598537684.903285248
0.0887246,0.0888622,0.00657445,0.00518707,-0.0374468,0.131011,1598537685.004786176
-0.0138286,0.0795457,0.120862,-0.0242225,-0.0381937,0.0984452,1598537685.105835776
0.143007,0.0568599,-0.0593093,-0.00839009,-0.00708765,0.13794,1598537685.206731008
0.0954529,0.0691385,-0.00306979,0.0183064,0.0265459,0.136653,1598537685.306354176
0.0548599,0.0548047,-0.0121124,0.0284886,0.0064557,0.109524,1598537685.405848320
0.0889056,0.0546023,-0.0280344,0.0234034,-0.00272479,0.0802562,1598537685.505607168
0.101791,0.0271607,0.0230455,0.013166,-0.0136846,0.0811335,1598537685.605288192
0.0761323,0.039907,0.0307219,0.00213021,-0.000221648,0.0779192,1598537685.704893696
0.142643,0.0438235,-0.0455454,0.000854578,-0.00466486,0.0859261,1598537685.804591360
0.0895641,0.00869396,-0.00794574,0.0123761,0.0152416,0.0555838,1598537685.904205056
0.108786,0.0190809,-0.0366336,0.0184155,0.00193847,0.0597104,1598537686.004122624
0.0939265,0.0171264,-0.00926549,0.0205592,-0.0172629,0.05779,1598537686.103940864
0.0622953,0.00823491,-0.00489297,0.0268369,-0.0244768,0.0567898,1598537686.203778304
0.0839048,0.0214069,0.0251778,0.0233298,-0.0143027,0.0516117,1598537686.303783680
0.100079,0.0135108,0.0548579,-0.00357652,-0.00309644,0.0143383,1598537686.404072192
0.125366,-0.0184132,0.00680619,-0.00743679,-0.00378125,0.0162577,1598537686.504488960
0.0679206,0.0206629,0.0127295,-0.0118156,0.0177212,0.0209056,1598537686.604657152
0.164374,-0.0244604,-0.0548762,0.00218704,-0.00538395,0.0314693,1598537686.704696576
0.0514031,0.0181866,-0.00239346,0.00137758,-0.00812127,0.00856888,1598537686.804313088
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00304074,0.0266752,-0.0276598,0.00837769,0.0342914,0.0368867,1598537683.303637760
-0.104791,0.0394639,0.0127496,0.00170399,0.0193208,0.00429322,1598537683.403665152
0.0105949,0.0510203,-0.0184056,0.00195283,0.0229401,0.00623942,1598537683.504374784
-0.0655024,0.0327122,-0.00138256,-0.0185851,0.0147351,0.0199641,1598537683.604352768
0.0306129,0.0639741,-0.0780797,0.000302807,-0.000619383,0.0315658,1598537683.704233216
-0.00892719,0.0470739,-0.0282931,-0.00857699,0.0205578,0.0684086,1598537683.803530240
0.0265686,0.0738448,-0.035482,-0.00285026,0.0193505,0.110981,1598537683.902376448
-0.0128808,0.075426,0.0472379,-0.0207643,0.00235095,0.134518,1598537684.000984064
0.0141155,0.0967348,0.00844231,-0.0117338,-0.0176497,0.135746,1598537684.100150016
-0.0151946,0.0775996,0.029455,0.00398028,-0.0226564,0.149623,1598537684.199559680
0.0274878,0.096063,0.0262064,0.00779947,-0.0316665,0.155093,1598537684.299474944
-0.0305642,0.133858,0.038413,0.0077397,-0.0359274,0.165947,1598537684.399599872
0.186105,0.099537,-0.0384817,0.0342379,-0.0230941,0.193134,1598537684.500289792
-0.0656586,0.105941,0.0903969,0.0191359,-0.00584379,0.201687,1598537684.600199168
0.0423289,0.106171,0.0559649,-0.0194303,0.0102045,0.189532,1598537684.701149952
0.121073,0.0865127,-0.147692,0.00236198,0.0114145,0.174331,1598537684.802343680
-0.0086273,0.0820274,0.0190719,0.0236875,-0.0102558,0.161983,1598537684.903285248
0.0887246,0.0888622,0.00657445,0.00518707,-0.0374468,0.131011,1598537685.004786176
-0.0138286,0.0795457,0.120862,-0.0242225,-0.0381937,0.0984452,1598537685.105835776
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00304074,0.0266752,-0.0276598,0.00837769,0.0342914,0.0368867,1598537683.303637760
-0.104791,0.0394639,0.0127496,0.00170399,0.0193208,0.00429322,1598537683.403665152
0.0105949,0.0510203,-0.0184056,0.00195283,0.0229401,0.00623942,1598537683.504374784
-0.0655024,0.0327122,-0.00138256,-0.0185851,0.0147351,0.0199641,1598537683.604352768
0.0306129,0.0639741,-0.0780797,0.000302807,-0.000619383,0.0315658,1598537683.704233216
-0.00892719,0.0470739,-0.0282931,-0.00857699,0.0205578,0.0684086,1598537683.803530240
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00304074,0.0266752,-0.0276598,0.00837769,0.0342914,0.0368867,1598537683.303637760
-0.104791,0.0394639,0.0127496,0.00170399,0.0193208,0.00429322,1598537683.403665152
0.0105949,0.0510203,-0.0184056,0.00195283,0.0229401,0.00623942,1598537683.504374784
-0.0655024,0.0327122,-0.00138256,-0.0185851,0.0147351,0.0199641,1598537683.604352768
0.0306129,0.0639741,-0.0780797,0.000302807,-0.000619383,0.0315658,1598537683.704233216
-0.00892719,0.0470739,-0.0282931,-0.00857699,0.0205578,0.0684086,1598537683.803530240
0.0265686,0.0738448,-0.035482,-0.00285026,0.0193505,0.110981,1598537683.902376448
-0.0128808,0.075426,0.0472379,-0.0207643,0.00235095,0.134518,1598537684.000984064
0.0141155,0.0967348,0.00844231,-0.0117338,-0.0176497,0.135746,1598537684.100150016
-0.0151946,0.0775996,0.029455,0.00398028,-0.0226564,0.149623,1598537684.199559680
0.0274878,0.096063,0.0262064,0.00779947,-0.0316665,0.155093,1598537684.299474944
-0.0305642,0.133858,0.038413,0.0077397,-0.0359274,0.165947,1598537684.399599872
0.186105,0.099537,-0.0384817,0.0342379,-0.0230941,0.193134,1598537684.500289792
-0.0656586,0.105941,0.0903969,0.0191359,-0.00584379,0.201687,1598537684.600199168
0.0423289,0.106171,0.0559649,-0.0194303,0.0102045,0.189532,1598537684.701149952
0.121073,0.0865127,-0.147692,0.00236198,0.0114145,0.174331,1598537684.802343680
-0.0086273,0.0820274,0.0190719,0.0236875,-0.0102558,0.161983,1598537684.903285248
0.0887246,0.0888622,0.00657445,0.00518707,-0.0374468,0.131011,1598537685.004786176
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00304074,0.0266752,-0.0276598,0.00837769,0.0342914,0.0368867,1598537683.303637760
-0.104791,0.0394639,0.0127496,0.00170399,0.0193208,0.00429322,1598537683.403665152
x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.13195,0.00977925,-0.0531582,-0.00197298,0.0133559,-0.0519965,1598537681.705216768
0.0172244,0.0312292,0.0425277,-0.0141489,0.0162053,-0.0251907,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0306557,0.028273,0.0631118,0.0088498,-0.0138869,0.00407313,1598537682.003880704
0.0442605,0.0185341,0.0119954,-0.0169817,-0.0151025,0.00169871,1598537682.103325952
0.0330782,0.00264981,-0.0379742,0.010599,-0.0344116,0.0216789,1598537682.202600960
-0.0481974,0.0193884,0.0467811,0.0317117,-0.0244263,0.0481299,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.012326,0.00899497,0.098528,0.0358154,-0.020645,0.0331873,1598537682.501441280
-0.0504898,-0.00979526,0.0447275,0.00311151,-0.0156656,0.00655118,1598537682.601820160
0.0355893,0.0184317,-0.0499495,0.00548606,0.0177056,0.0345377,1598537682.702421504
0.00934715,-0.00230924,-0.0215514,-0.00017681,0.0223951,0.00564154,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
